"Gene","Var"
"1007_PM_s_at",0.681144283796441
"1053_PM_at",0.921336084737631
"117_PM_at",0.762377020268266
"121_PM_at",0.536630313917157
"1255_PM_g_at",0.190540854100073
"1294_PM_at",0.709227294263742
"1316_PM_at",0.644765400535969
"1320_PM_at",0.200240187581269
"1405_PM_i_at",0.803942540901129
"1431_PM_at",0.314629101172682
"1438_PM_at",0.20293091732973
"1487_PM_at",0.702871393724462
"1494_PM_f_at",0.249626165967494
"1552256_PM_a_at",0.634590180200512
"1552257_PM_a_at",0.786817314290202
"1552258_PM_at",0.505533268318218
"1552261_PM_at",0.25255175747998
"1552263_PM_at",0.508361727426914
"1552264_PM_a_at",0.563032601003991
"1552266_PM_at",0.262451684447981
"1552269_PM_at",0.214996866442433
"1552271_PM_at",0.271101338974934
"1552272_PM_a_at",0.260286400433364
"1552274_PM_at",1.04369875238757
"1552275_PM_s_at",1.06675779525097
"1552276_PM_a_at",0.27260807392238
"1552277_PM_a_at",0.771580725662285
"1552278_PM_a_at",0.224681560743954
"1552279_PM_a_at",0.273025552997714
"1552280_PM_at",0.216294867718606
"1552281_PM_at",0.266776567447547
"1552283_PM_s_at",0.284619013127884
"1552286_PM_at",0.61750676343893
"1552287_PM_s_at",1.12667680978915
"1552288_PM_at",0.273515816385888
"1552289_PM_a_at",0.22222763467158
"1552291_PM_at",0.916833753471287
"1552293_PM_at",0.242535517050513
"1552295_PM_a_at",0.447809989303193
"1552296_PM_at",0.236192823273053
"1552299_PM_at",0.27782883505605
"1552301_PM_a_at",0.245588154650324
"1552302_PM_at",1.32420628190063
"1552303_PM_a_at",0.797849127024939
"1552304_PM_at",0.255045873049818
"1552306_PM_at",0.293824948013406
"1552307_PM_a_at",1.13660212724077
"1552309_PM_a_at",0.945004931563002
"1552310_PM_at",1.19480004785019
"1552311_PM_a_at",0.393738113306373
"1552312_PM_a_at",0.628004028720098
"1552314_PM_a_at",0.260348163723197
"1552315_PM_at",1.20807358246797
"1552316_PM_a_at",0.74972714184086
"1552318_PM_at",1.15012005128143
"1552319_PM_a_at",0.241831610198216
